,subject,trials,activations,torques,emgSO,emgMG,emgLG,lnemgSO,lnemgMG,lnemgLG,emgSO_norm_mvc,emgSO_norm_mmax,emgMG_norm_mvc,emgMG_norm_mmax,emgLG_norm_mvc,emgLG_norm_mmax
7,sub14,90,85.49968004503492,73.73594943895633,0.12189346836486861,0.0919554602494649,0.11017670336335758,-2.1046078258429537,-2.3864509468839676,-2.2056698078484565,97.20703720598051,4.500002142639968,69.26648769879155,4.62824074791264,71.95747287931424,4.829251937520764
8,sub14,95,84.5507641245901,78.45296555003998,0.07996979384086214,0.093090131605828,0.08717581983423058,-2.526106292597618,-2.374187098106451,-2.4398282819997106,61.39567739692262,2.8421880532121215,66.79655743400879,4.463205212320301,52.905807967020365,3.5506454772160634
9,sub14,100,92.49463026837219,86.74488401614916,0.130561378636664,0.08439763092322997,0.10913757812584342,-2.035911828411367,-2.4722159474041616,-2.215146007997629,108.11504821952707,5.004966333955531,65.91312472629262,4.404176100382783,67.2020060387195,4.510100270086933
0,sub15,01,-1.9517952892197377,1.6879340368074884,0.01289889095350041,0.020182650585945695,0.012577152807809815,-4.350613943907233,-3.9029319255092285,-4.375873380208799,5.836671279108231,0.5751693314902477,6.444351095708724,0.7328987389148844,4.864983498537341,0.552512049712919
1,sub15,05,0.6377780022854163,5.732481403315673,0.04167636767494298,0.019410616517470346,0.01310802218157342,-3.1778210332486614,-3.9419351194272165,-4.334530855930536,16.20958958180853,1.5973588981911233,6.637409311124803,0.7548547311496684,5.050541037190653,0.573585661997904
2,sub15,10,6.288884655499205,11.006850550469414,0.03980793279615715,0.038196476758304725,0.02064870384639818,-3.223689070066276,-3.2650119990811817,-3.880102729273973,18.076344056271566,1.7813164780837123,13.165855614623093,1.4973173921449,7.7896961786246,0.8846691882072651
3,sub15,15,10.326395212550732,15.238671788908846,0.029319296355276313,0.037990828434095854,0.020245064853981507,-3.5295094010485135,-3.2704105053845165,-3.8998442260464135,13.064903091843687,1.2874686988486235,13.012231538984576,1.4798461386966812,8.23158011242664,0.9348535717871016
4,sub15,25,21.90188401719684,26.32333865941712,0.04389941664588634,0.04232234732148609,0.032820575468670794,-3.125854247237904,-3.1624400269616246,-3.416699659388879,20.727843816436355,2.0426060507823385,15.645246930171119,1.779291906173426,12.230099720118563,1.3889620523045312
5,sub15,50,49.737036376015276,51.09910984079883,0.2740660971598151,0.09467118639549378,0.08352729464298574,-1.294385971175194,-2.35734558701436,-2.4825818185876676,133.3647116871214,13.142301218853488,32.43983817329934,3.6892956536222563,35.56070015788302,4.038598556267572
6,sub15,75,76.69177554886173,72.38849532161785,0.16457254732307175,0.11845167293477775,0.13140621356454354,-1.8044037888346658,-2.133250224924713,-2.029461886648244,77.92305031175081,7.678854369598559,39.34225043074313,4.47428845799007,50.1662145576697,5.697334439043713
7,sub15,90,87.31100965598395,91.64422428917852,0.34825947917525724,0.2677471409855251,0.16653827736390306,-1.054807447237511,-1.317712247636498,-1.7925301019057367,165.64542652854283,16.323374177652095,86.26832153362831,9.811064468911688,65.88495903172638,7.482498917173136
8,sub15,95,93.31844965809654,96.0356934438329,0.1834245327679359,0.19590021801083699,0.1924295175715235,-1.6959519616502223,-1.6301498411642827,-1.6480253347864164,105.2742801931805,10.3741558272372,75.62919908998373,8.601105652840909,72.09272482936376,8.187509613719502
9,sub15,100,94.27565942400662,98.28509261780826,0.20552068154806924,0.1997052524825828,0.1452562532847165,-1.5822086099731365,-1.610912737040543,-1.9292558323026978,93.81793797003176,9.245201260034175,71.55722232410126,8.138010673643818,53.47677537603674,6.073312023346966
0,sub16,01,-1.1453212255607248,1.4374537063394186,0.005992025004622088,0.009970760721162854,0.010484191820432736,-5.117325859774909,-4.6080983968998215,-4.557886697195344,2.852220267375319,0.46530182152730254,7.986156088353397,0.4023066889919385,9.408213560170935,0.7264488005678503
1,sub16,05,2.610103042245737,2.7393156277015023,0.016390932313982948,0.012338009487435122,0.011721294383022047,-4.11102700474577,-4.3950705792344475,-4.4463480586941895,7.100966214245092,1.1584282433882915,9.017557447161293,0.4542640588571379,10.54542173749847,0.8142575552407756
